정류소 번호,정류소 아이디,정류소 명,GPS X 좌표,GPS Y 좌표,정류장 구분
13073,193400301,부산경상대학교정문,129.10074,35.1857,일반
13074,193770301,연산8치안센터,129.101835,35.18777833,일반
13075,193770101,연산8치안센터,129.1029443,35.18759304,일반
13076,193760301,토곡한양아파트,129.1055533,35.1879,일반
13077,193770102,토곡한양아파트,129.1062733,35.18784833,일반
13078,193630301,토곡한양아파트,129.1071133,35.18919,일반
13079,193760401,토곡한양아파트,129.1072217,35.18912667,일반
13080,193760201,태광아파트,129.1069681,35.18687883,일반
13081,193460102,태광아파트,129.1073136,35.18675478,일반
13082,193460101,부산소방본부.교통정보서비스센터,129.1072961,35.18490254,일반
13085,193460301,부산소방본부.교통정보서비스센터,129.1069955,35.1842255,일반
13086,193900201,망미주공아파트,129.1069824,35.18079918,일반
13087,193650301,망미주공아파트,129.1069725,35.18004077,일반
13088,193650101,망미주공아파트,129.1072683,35.18069634,일반
13089,208260201,망미주공아파트종점,129.10835,35.18041833,일반
13090,198770403,선경아파트,129.1071633,35.17834833,일반
13091,212610101,배산역,129.0961722,35.17331413,일반
13093,200570301,배산역,129.0956463,35.17357979,일반
13094,193920201,배산역,129.0952798,35.17353024,일반
13097,193930101,한독아파트,129.0911337,35.17399114,일반
13098,193930102,한독아파트,129.0913534,35.17391665,일반
13100,193930301,한독아파트,129.0891,35.174385,일반
13101,193890301,신리삼거리,129.0875533,35.17458833,일반
13102,193380301,신리삼거리,129.0866883,35.17501333,일반
13103,193890101,신리삼거리,129.0882122,35.17437997,일반
13104,193380101,신리삼거리,129.0872149,35.17451191,일반
13106,193660101,연제구청,129.0812469,35.17528116,일반
13107,193560301,연제구청,129.0826645,35.17532062,일반
13109,193390201,연산시장.물만골역,129.0856967,35.17669,일반
13110,193380302,연산시장.물만골역,129.0861633,35.176125,일반
13113,193380303,연산초등학교,129.0848775,35.17929123,일반
13114,194160101,연산초등학교,129.0841757,35.18001273,일반
13116,194160301,반도보라아파트,129.0829971,35.18381135,일반
13117,193360301,반도보라아파트,129.0826842,35.1837686,일반
13118,193360201,연산교차로,129.0832031,35.18571824,일반
13119,193730101,연일시장,129.0851774,35.18559176,일반
13120,193530301,사직실내수영장,129.0646065,35.19304727,일반
13123,193490101,부산의료원,129.0605792,35.18825674,일반
13124,194360302,거제리대조연립,129.0733085,35.19398495,일반
13125,194370101,거제리대조연립,129.0727146,35.19394238,일반
13126,194370102,법원후문,129.0744356,35.19292209,일반
13127,194360301,법원후문,129.0744722,35.19319622,일반
13128,194250301,법원검찰청정문,129.0733025,35.19109449,일반
13129,194240101,법원검찰청정문,129.0733649,35.19084167,일반
13130,193490301,부산의료원,129.0603419,35.18857563,일반
13131,193500301,국가기록원.역사기록관,129.0557,35.187199,일반
13132,171730104,개인택시조합,129.0555449,35.18682793,일반
13134,171730103,초읍고개,129.0529442,35.18452576,일반
13135,194370201,남문초.연제우체국,129.0708109,35.19385717,일반
13136,194370202,현대쌍용아파트,129.068325,35.19335862,일반
13137,193520201,법원검찰청.거제역,129.075095,35.18963167,일반
13140,193820102,남문초.연제우체국,129.0709231,35.19369514,일반
13141,193820101,현대쌍용아파트,129.068225,35.193212,일반
13143,193820201,창신초등학교,129.0668612,35.19261118,일반
13144,193450201,연산중학교,129.0882633,35.18557667,일반
13145,193440201,연산중학교,129.0888283,35.185675,일반
13148,193460401,부산소방본부.교통정보서비스센터,129.1058967,35.18469333,일반
13149,193470301,엘지아파트,129.104409,35.18539068,일반
13150,193470101,엘지아파트,129.1043095,35.1851491,일반
13151,193360501,연산역,129.0805183,35.18654667,일반
13152,193420401,거제역,129.0751889,35.18828694,일반
13153,193840201,거제역,129.0750904,35.18803579,일반
13154,193450401,연일시장,129.0851617,35.18576167,일반
13155,193410101,현대아파트,129.09433,35.18580833,일반
13156,193410103,부산경상대학교정문,129.1008183,35.18558833,일반
13157,193400302,부산경상대학교서문,129.0974727,35.18574896,일반
13158,193460201,부산소방본부.교통정보서비스센터,129.1082067,35.184465,일반
13159,194380101,수영강푸르지오아파트,129.1120074,35.18434803,일반
13161,208630201,수영강푸르지오아파트,129.1119113,35.18460069,일반
13162,193730201,연산교차로,129.0832586,35.18595609,일반
13163,194380201,연제예식장,129.1094452,35.18460744,일반
13164,193710301,연산자이아파트104동앞,129.0887698,35.19002451,일반
13165,193690201,연산자이아파트114동앞,129.0872181,35.18731512,일반
13166,193330301,연제자동차매매단지,129.077735,35.18842667,일반
13169,193780302,파크시티아파트입구,129.0985438,35.18800191,일반
13170,193530201,사직실내수영장,129.0635433,35.19211357,일반
13171,194420101,사직실내수영장,129.0624554,35.19163647,일반
13172,194420201,아시아드주경기장,129.0603379,35.19146527,일반
13173,165810202,아시아드주경기장,129.0593372,35.19215818,일반
13174,193640301,사직119안전센터,129.0588502,35.19471672,일반
13175,165810201,사직119안전센터,129.0585851,35.19465364,일반
13176,193530101,홈플러스,129.0646545,35.19177923,일반
13177,193620202,연산교,129.0996479,35.19091375,일반
13178,193620201,연산8치안센터,129.1008932,35.18812111,일반
13179,171730401,연제공용버스차고지,129.0531722,35.1852428,일반
13180,213020201,월륜교차로,129.1140829,35.18359977,일반
13181,198700301,월륜교차로,129.1145169,35.18361472,일반
13183,504610000,초읍고개,129.054089,35.18547513,일반
13184,510480000,연제도서관입구.연산더샵,129.0847645,35.17477224,일반
13393,213070102,세방물류,128.825728,35.0862164,일반
13701,505740000,교대역,129.0796335,35.19662561,일반
13702,505770000,동해선교대역,129.0799477,35.19302011,일반
13703,505760000,동해선교대역,129.0796428,35.19419234,일반
13704,505940000,연산역.연산교차로,129.0814286,35.18738497,일반
13705,505930000,연산역.연산교차로,129.0811416,35.18775037,일반
13706,505960000,연산역.연제초교,129.0800565,35.18393911,일반
13707,505950000,연산역.연제초교,129.0802059,35.18441866,일반
13708,505780000,부산시청,129.0769142,35.17993786,일반
13709,505790000,부산시청,129.0754371,35.17839517,일반
13713,505750000,동해선교대역,129.0795449,35.19423007,일반
14001,198770402,망미우체국,129.107255,35.17681333,일반
14002,193650302,오양아파트,129.1073633,35.17712667,일반
14003,198770401,망미중앙시장,129.1076373,35.17564646,일반
14004,198770201,망미중앙시장,129.10785,35.17448833,일반
14005,199490201,동원보라아파트,129.1029383,35.14224667,일반
14006,198790501,금호주유소,129.1090345,35.17259163,일반
14007,198790401,망미역,129.1072467,35.17188167,일반
14008,198690202,수영강변3차e편한세상,129.1161016,35.18063001,일반
14009,198710102,망미역,129.107706,35.17166535,일반
14010,198710101,망미역,129.1067093,35.17178549,일반
14011,198710302,망미1파출소,129.10026,35.173175,일반
14012,198710303,망미1파출소,129.09937,35.17318333,일반
14013,198720201,망미1파출소,129.0994831,35.17311587,일반
14014,198720202,망미1파출소,129.099939,35.17309958,일반
14015,198790201,수영아파트,129.1111167,35.17014333,일반
14017,199020304,수영아파트,129.1107937,35.17049967,일반
14021,198980201,롯데캐슬아파트,129.132608,35.1575776,일반
14022,199230301,민락수변공원,129.1322146,35.1562077,일반
14023,198740201,망미2동,129.117141,35.17628607,일반
14024,198750101,망미2동,129.1173647,35.17609781,일반
14025,198750301,망미동우리은행,129.1173983,35.17296333,일반
14026,198750302,태창아파트,129.1193883,35.17171,일반
14027,198820301,태창아파트,129.1197967,35.17149667,일반
14028,198820201,미광운수,129.1197867,35.16986833,일반
14029,198860101,미광운수,129.1198267,35.16991667,일반
14030,198940301,수영현대아파트.민락역,129.1235553,35.16615666,일반
14031,198910201,수영현대아파트.민락역,129.1232333,35.166015,일반
14032,198930301,민락교,129.1285861,35.16041923,일반
14033,201090101,민락교,129.1272893,35.15969804,일반
14034,201090301,MBC방송국,129.1264155,35.15965839,일반
14035,199440101,MBC방송국,129.1249933,35.15907333,일반
14036,199070102,민락동골목시장,129.1236667,35.15887667,일반
14037,199440301,민락동골목시장,129.12309,35.15894,일반
14038,199070101,동방시장,129.1218817,35.15869667,일반
14040,199060101,이화맨션,129.1205417,35.159705,일반
14042,199090202,화목아파트,129.1192317,35.16357667,일반
