,정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
529,4119,171280301.0,조양아파트,35.07230327,129.0712548,시내
531,4121,171330202.0,남고교,35.06973,129.0672017,시내
532,4122,171330201.0,영도중리,35.06957667,129.06695,시내
534,4124,171080201.0,함지그린아파트,35.07015833,129.0614083,시내
536,4126,171080102.0,절영복지회관,35.07157993,129.0622808,시내
538,4128,171070303.0,반도보라아파트,35.07114,129.0608467,시내
540,4130,171350101.0,75광장,35.07080167,129.05827,시내
542,4133,171350201.0,함지골수련원,35.07302333,129.0538767,시내
544,4135,171620101.0,백련사,35.07584,129.0485283,시내
546,4137,171620201.0,영선아파트,35.07776833,129.04631,시내
548,4139,171360202.0,고신대3강의동,35.08042688,129.0637483,시내
549,4141,170320301.0,홈플러스,35.09573,129.04468,시내
552,4145,171360201.0,광명고교,35.081915,129.062705,시내
553,4147,171410201.0,일신마리나아파트,35.08664,129.06311,시내
554,4148,171390101.0,롯데낙천대,35.08836789,129.0607859,시내
555,4149,171440101.0,(구)해사고,35.08889167,129.0597033,시내
556,4150,170950301.0,영광아파트,35.09116,129.05691,시내
557,4151,170950302.0,시영아파트,35.09210167,129.0526283,시내
562,4166,171470301.0,삼신아파트,35.09231,129.05434,시내
563,4167,171470201.0,청산학원,35.09000115,129.0579636,시내
564,4168,171130301.0,영도교회,35.07690816,129.0735132,시내
566,4170,171180101.0,동삼초등학교,35.079372,129.0740819,시내
568,4172,171170401.0,국제크루즈터미널입구,35.0802089,129.0773159,시내
570,4174,171170402.0,미창석유,35.08579202,129.0758456,시내
572,4176,170970201.0,송강중공업,35.0886804,129.0721671,시내
573,4177,211380101.0,(주)국보,35.08966599,129.0710528,시내
574,4178,211380301.0,(주)거청,35.09421993,129.067906,시내
576,4180,211380302.0,대선조선,35.096235,129.063855,시내
578,4182,211380303.0,청학수변공원,35.0980791,129.0600506,시내
580,4184,211380304.0,부산조선,35.09948504,129.0581312,시내
582,4186,215470104.0,국립해양박물관,35.07808618,129.0790178,시내
583,4187,210960101.0,영선2동행정복지센터,35.08705756,129.0420271,시내
588,4192,171050202.0,태종대.태종대온천,35.06368167,129.080885,시내
592,4196,171130101.0,동삼혁신지구입구.동삼교회,35.073838,129.074425,시내
593,4197,171130202.0,동삼혁신지구입구,35.07532098,129.073675,시내
594,4198,171060401.0,한국해양대.부산해사고,35.07244974,129.0774196,시내
596,4200,217270202.0,한국해양수산연수원,35.07643306,129.0753063,시내
598,4202,217270201.0,국립수산물품질관리원,35.07894605,129.0751178,시내
601,5005,210470301.0,세정고등학교,35.174984,129.076401,시내
602,5006,172680101.0,가야1치안센터,35.15462167,129.036825,시내
603,5007,171900302.0,미진마트,35.15198667,129.035565,시내
604,5008,172470401.0,청수탕,35.169885,129.035095,시내
606,5010,164370201.0,부전역,35.162235,129.0621467,시내
607,5011,164820301.0,양정역6번출구,35.1737427,129.0730445,시내
608,5014,164000201.0,양정역4번출구,35.17324109,129.0723865,시내
609,5017,164000501.0,백조아파트,35.17365333,129.06983,시내
611,5023,164190101.0,양정대원칸타빌,35.17066464,129.067643,시내
612,5025,172180401.0,국제백양아파트,35.16839244,129.0277048,시내
614,5027,164010301.0,하마정,35.17428833,129.0673783,시내
616,5029,164030101.0,양정현대아파트,35.17457166,129.0652702,시내
617,5030,164030301.0,정묘사,35.17448,129.061503,시내
619,5032,164030302.0,화인아파트,35.17186,129.05919,시내
621,5034,164040201.0,부산시민공원,35.17111953,129.0563599,시내
622,5035,171720202.0,국립부산국악원,35.17164726,129.0548957,시내
623,5036,172480301.0,성의신용협동조합,35.17389898,129.0550306,시내
625,5038,171720302.0,부산진고교,35.17832493,129.0536795,시내
627,5040,171710301.0,초읍초등학교,35.18054595,129.0513468,시내
629,5042,171690301.0,어린이대공원입구,35.18113696,129.0471176,시내
631,5044,171690302.0,삼광사입구,35.17769271,129.0480443,시내
633,5046,171690303.0,성곡시장입구,35.17500948,129.0487731,시내
634,5047,171690304.0,성곡시장,35.17388707,129.0490879,시내
636,5050,172100501.0,부산시설공단,35.17163358,129.049929,시내
637,5051,171660101.0,LG디스커버리랩,35.16962411,129.0501223,시내
638,5052,172480201.0,연지일동아파트,35.1699,129.05219,시내
640,5054,172500201.0,부암고가교,35.16773,129.049845,시내
642,5056,172500301.0,동원아파트.협성휴포레,35.16642333,129.0481917,시내
643,5057,172370102.0,동원아파트,35.16638167,129.0483717,시내
644,5058,172500302.0,부암새고개,35.16596667,129.0457167,시내
646,5060,172690101.0,동의대학교입구.동의대역,35.153645,129.031235,시내
647,5061,193500303.0,시민도서관,35.18312604,129.0506159,시내
648,5062,172370301.0,당감시장,35.16604343,129.0412438,시내
