"정류장번호","위치명(정류장명)","설치년도","주소","좌표정보(위도)","좌표정보(경도)","데이터기준일자"
"14082","금련산청소년수련","-","수영구 남천동 29-15","35.1470295453","129.1105031739","2021-01-13"
"14083","남천지하철역","-","수영구 남천동 19-28","35.1417123621","129.1078905257","2021-01-13"
"14084","수영강변1차 e-편한세상","-","수영구 망미동 54-1","35.1794406978","129.1169000170","2021-01-13"
"14085","성지기업","-","수영구 망미동 202-1","35.1776799031","129.1173867713","2021-01-13"
"14087","대남교차로","-","수영구 남천동 340-1","35.1406578010","129.1058820354","2021-01-13"
"14088","금련산역","-","수영구 남천1동 33-2","35.1500533012","129.1112979620","2021-01-13"
"14089","수영교차로","-","수영구 광안동 1077-1","35.1663507825","129.1145999716","2021-01-13"
"14094","수영교차로","-","수영구 광안동 50-13","35.1676599467","129.1172419002","2021-01-13"
"14096","KBS방송국","-","부산 수영구 남천동 78","35.1452566792","129.1096977375","2021-01-13"
"14097","서호병원","-","부산 수영구 광안동 205","35.1583265621","129.1168186558","2021-01-13"
"14098","서호병원","-","수영구 광안동 195-10","35.1525475211","129.1164913711","2021-01-13"
"14099","센텀비치푸르지오","-","부산 수영구 민락동 108-1","35.1597229599","129.1310831592","2021-01-13"
"14100","롯데캐슬아파트","-","수영구 민락동 110-4","35.1576454246","129.1325693186","2021-01-13"
"14101","남천해변시장","-","수영구 남천동 298-1","35.1383734998","129.1075689950","2021-01-13"
"14102","메가마트 남천점","-","수영구 황령대로 505","35.1375911794","129.1089788980","2021-01-13"
"14105","수영강변3차 e-편한세상","-","수영구 망미동 980-54","35.1811640810","129.1161149325","2021-01-13"
"14110","수영아파트","-","수영구 수영동 457-16","35.1703038684","129.1111651397","2021-01-13"
"14117","민락수변공원","-","수영구 민락동 110-62","35.1558994789","129.1321889608","2021-01-13"
"15004","모라1동주민센터","-","사상구 모라동 1339-18","35.1919558896","128.9926105869","2021-01-13"
"15005","모라1동주민센터","-","사상구 모라동 1338-6","35.1919148299","128.9920883593","2021-01-13"
"15007","모라지하철역","-","사상구 모라동 991","35.1899799515","128.9892589717","2021-01-13"
"15009","모라역","-","사상구 모라동 652-26","35.190463","128.988933","2021-01-13"
"15012","모라사거리","-","사상구 모라동 1081-2","35.1878106591","128.9876728917","2021-01-13"
"15013","모라사거리","-","부산 사상구 모라동 862-2","35.1872536205","128.9875865431","2021-01-13"
"15015","모라1동행정복지센터","-","사상구 모라동 453","35.1869626048","128.9898539122","2021-01-13"
"15016","모라우성아파트","-","사상구 모라동 1356-3","35.1892238462","128.9910529074","2021-01-13"
"15017","모라우성아파트","-","사상구 모라동 1357","35.1878928981","128.9917437179","2021-01-13"
"15018","모라새마을금고","-","사상구 모라동 1358-8","35.1876091309","128.9905704637","2021-01-13"
"15026","동원아파트","-","사상구 모라동 1361","35.1845586858","128.9896372248","2021-01-13"
"15027","동원아파트(모라)","-","사상구 모라동 1365-2","35.1832369908","128.9897161928","2021-01-13"
"15029","부산은행모라동지점","-","사상구 모라동 708-10","35.1848702391","128.9864421105","2021-01-13"
"15034","청소년지원센터(모덕역)","-","부산 사상구 덕포동 430","35.1744352757","128.9856075515","2021-01-13"
"15035","자유아파트","-","사상구 모라동 1294-3","35.1812346077","128.9883215633","2021-01-13"
"15036","자유아파트","-","부산 사상구 덕포동 760","35.1811945982","128.9888975049","2021-01-13"
"15037","북부노동청","-","사상구 덕포동 761-2","35.1789167470","128.9888949004","2021-01-13"
"15038","부산북부고용노동지청","-","사상구 덕포동 742-1","35.1781641471","128.9882931906","2021-01-13"
"15047","부산에너지과학고교","-","사상구 덕포동 767-10","35.1757199082","128.9886820054","2021-01-13"
"15048","부산에너지과학고교","-","사상구 덕포동 777-4","35.1749539541","128.9887232712","2021-01-13"
"13003","교대역","-","연제구 거제동 129-1","35.1973223929","129.0807509077","2021-01-13"
"13005","교대역","-","연제구 거제동 70-6","35.1948673269","129.0803923116","2021-01-13"
"13010","거제1치안센터","-","연제구 거제동 2-7","35.1907857918","129.0779858168","2021-01-13"
"13011","거제1치안센터","-","연제구 거제동 43","35.1913697975","129.0775204270","2021-01-13"
"13012","법원,검찰청(거제역)","-","연제구 거제동 18-49","35.1892160453","129.0751294096","2021-01-13"
"13016","법원, 검찰청","-","부산 연제구 거제동 1092-17","35.1901920047","129.0707241028","2021-01-13"
"13019","창신초등학교","-","연제구 거제동 1477-5","35.1923500069","129.0675605616","2021-01-13"
"13023","거제리안동네","-","연제구 아시아드대로 31","35.1876050748","129.0682400985","2021-01-13"
"13026","경남아파트.농산물품질관리","-","연제구 거제동 507-8","35.1865001979","129.0715745246","2021-01-13"
"13027","경남아파트.농산물품질관리원","-","연제구 거제동 504-1","35.1872336985","129.0728877705","2021-01-13"
"13028","경남아파트","-","연제구 거제2동 450-8","35.18635667","129.0722183","2021-01-13"
"13029","삼정그린코아아파트","-","부산 연제구 거제동 1264-2","35.1889735158","129.0619040553","2021-01-13"
"13031","거제해맞이역","-","연제구 거제4동 654-1","35.18177491","129.069405","2021-01-13"
"13033","거제리","-","연제구 거제동 610-9","35.1822646700","129.0703946151","2021-01-13"
"13035","양정유림아파트","-","연제구 거제동 716-28","35.1766393819","129.0674462397","2021-01-13"
